"Player","Total Count","Wins","Losses","Winrate","As Radiant","As Dire","Kills","Deaths","Assists","KDA","Avg. KAL","GPM","XPM","Last Hits","Denies","LVL","HD","TD","HH","GS"
"Ame","2510","1544","966","61,51%","1364","1146","6,93","3,20","8,54","7,89","4,83","652","697","376","13","22","23483","7085","289","22942"
"Ace","2484","1349","1135","54,31%","1340","1144","5,52","4,03","10,04","6,86","3,86","548","609","288","12","20","19500","3825","1124","19367"
"Noone","2423","1488","935","61,41%","1287","1136","7,52","3,53","10,60","8,56","5,13","571","641","291","14","21","23713","3333","312","19360"
"Xxs","2383","1333","1050","55,94%","1198","1185","4,33","3,78","11,22","6,83","4,12","466","556","233","7","20","15308","1782","821","16440"
"S4","2257","1401","856","62,07%","1101","1156","5,23","4,73","11,13","6,03","3,46","427","489","168","10","18","15784","1871","923","13497"
"33","2169","1263","906","58,23%","1080","1089","5,10","4,15","11,72","6,96","4,06","514","602","249","7","21","17321","3072","1322","18192"
"Nisha","2166","1323","843","61,08%","1071","1095","7,44","3,62","11,12","8,89","5,13","590","683","325","13","22","27581","4391","268","21055"
"Resolut1on","2160","1285","875","59,49%","1076","1084","7,06","3,56","9,76","8,00","4,73","540","562","256","13","20","18277","3554","728","18535"
"Arteezy","2103","1328","775","63,15%","1079","1024","7,18","3,46","8,50","7,42","4,53","611","614","312","13","21","21092","5474","376","21013"
"Somnus丶M","2072","1259","813","60,76%","1080","992","8,30","3,64","9,07","7,76","4,77","563","602","279","12","21","22434","3059","163","19143"
"SumaiL","2050","1158","892","56,49%","984","1066","7,82","3,90","9,72","7,70","4,50","574","628","301","14","21","24666","2850","403","20032"
"Monet","2014","1125","889","55,86%","880","1134","6,98","2,94","8,76","8,41","5,36","614","643","343","16","21","22766","6118","317","21432"
"MiCKe","2002","1110","892","55,44%","862","1140","7,93","3,69","9,57","8,27","4,74","640","725","383","13","23","26873","6164","352","22846"
"skiter","1930","1126","804","58,34%","907","1023","7,10","3,17","9,46","9,06","5,22","636","700","380","14","22","24251","7080","410","22878"
"Quinn","1925","1141","784","59,27%","998","927","7,10","3,85","10,03","8,16","4,45","555","626","282","12","21","24258","3261","134","18210"
"Faith bian","1876","1106","770","58,96%","981","895","4,55","4,17","11,58","6,64","3,86","461","542","214","11","20","15883","2314","862","15078"
"EternaLEnVy","1875","1047","828","55,84%","861","1014","6,12","3,71","8,85","6,66","4,04","539","549","280","12","20","18496","3675","267","19054"
"Dendi","1834","922","912","50,27%","976","858","6,40","3,85","9,16","6,64","4,04","480","532","220","18","19","18788","1866","249","16799"
"Abed","1823","1038","785","56,94%","916","907","7,39","3,09","9,94","9,20","5,61","572","647","303","10","22","23526","2273","162","21571"
"Eurus","1814","1035","779","57,06%","926","888","7,61","3,26","9,17","8,27","5,14","592","615","310","14","21","21540","4076","355","20187"
"Qojqva","1760","922","838","52,39%","786","974","6,35","3,48","8,57","6,98","4,29","530","557","268","9","20","19610","4356","99","19012"
"Kpii","1740","1010","730","58,05%","818","922","3,74","4,46","11,83","5,92","3,49","421","481","182","8","19","12968","1336","1049","13782"
"MinD ContRoL","1726","1029","697","59,62%","852","874","4,54","4,90","12,37","5,87","3,45","433","487","182","9","19","15155","1982","1227","14166"
"ELeVeN","1723","999","724","57,98%","827","896","4,56","5,35","11,47","4,77","3,00","449","519","200","11","19","14885","1792","778","14405"
"Fata","1717","1018","699","59,29%","899","818","6,40","4,10","9,86","6,24","3,97","488","518","223","11","19","18280","2169","469","17714"
"Iceiceice","1713","1070","643","62,46%","843","870","4,47","4,60","11,26","5,77","3,42","450","495","199","9","19","15684","1986","1407","15807"
