№,Герой,Дальность атаки
1,Abaddon,ближник
2,Alchemist,ближник
3,Ancient Apparition,дальник
4,Anti-Mage,ближник
5,Arc Warden,дальник
6,Axe,ближник
7,Bane,дальник
8,Batrider,дальник
9,Beastmaster,ближник
10,Bloodseeker,ближник
11,Bounty Hunter,ближник
12,Brewmaster,ближник
13,Bristleback,ближник
14,Broodmother,ближник
15,Centaur Warrunner,ближник
16,Chaos Knight,ближник
17,Chen,дальник
18,Clinkz,дальник
19,Clockwerk,ближник
20,Crystal Maiden,дальник
21,Dark Seer,ближник
22,Dark Willow,дальник
23,Dawnbreaker,ближник
24,Dazzle,дальник
25,Death Prophet,дальник
26,Disruptor,дальник
27,Doom,ближник
28,Dragon Knight,ближник
29,Drow Ranger,дальник
30,Earth Spirit,ближник
31,Earthshaker,ближник
32,Elder Titan,ближник
33,Ember Spirit,ближник
34,Enchantress,дальник
35,Enigma,дальник
36,Faceless Void,ближник
37,Grimstroke,дальник
38,Gyrocopter,дальник
39,Hoodwink,дальник
40,Huskar,дальник
41,Invoker,дальник
42,Io,дальник
43,Jakiro,дальник
44,Juggernaut,ближник
45,Keeper of the Light,дальник
46,Kez,ближник
47,Kunkka,ближник
48,Largo,ближник
49,Legion Commander,ближник
50,Leshrac,дальник
51,Lich,дальник
52,Lifestealer,ближник
53,Lina,дальник
54,Lion,дальник
55,Lone Druid,дальник
56,Luna,дальник
57,Lycan,ближник
58,Magnus,ближник
59,Marci,ближник
60,Mars,ближник
61,Medusa,дальник
62,Meepo,ближник
63,Mirana,дальник
64,Monkey King,ближник
65,Morphling,дальник
66,Muerta,дальник
67,Naga Siren,ближник
68,Nature's Prophet,дальник
69,Necrophos,дальник
70,Night Stalker,ближник
71,Nyx Assassin,ближник
72,Ogre Magi,ближник
73,Omniknight,ближник
74,Oracle,дальник
75,Outworld Devourer,дальник
76,Pangolier,ближник
77,Phantom Assassin,ближник
78,Phantom Lancer,ближник
79,Phoenix,дальник
80,Primal Beast,ближник
81,Puck,дальник
82,Pudge,ближник
83,Pugna,дальник
84,Queen of Pain,дальник
85,Razor,дальник
86,Riki,ближник
87,Ringmaster,дальник
88,Rubick,дальник
89,Sand King,ближник
90,Shadow Demon,дальник
91,Shadow Fiend,дальник
92,Shadow Shaman,дальник
93,Silencer,дальник
94,Skywrath Mage,дальник
95,Slardar,ближник
96,Slark,ближник
97,Snapfire,дальник
98,Sniper,дальник
99,Spectre,ближник
100,Spirit Breaker,ближник
101,Storm Spirit,дальник
102,Sven,ближник
103,Techies,дальник
104,Templar Assassin,дальник
105,Terrorblade,ближник
106,Tidehunter,ближник
107,Timbersaw,ближник
108,Tinker,дальник
109,Tiny,ближник
110,Treant Protector,ближник
111,Troll Warlord,ближник
112,Tusk,ближник
113,Underlord,ближник
114,Undying,ближник
115,Ursa,ближник
116,Vengeful Spirit,дальник
117,Venomancer,дальник
118,Viper,дальник
119,Visage,дальник
120,Void Spirit,ближник
121,Warlock,дальник
122,Weaver,дальник
123,Windranger,дальник
124,Winter Wyvern,дальник
125,Witch Doctor,дальник
126,Wraith King,ближник
127,Zeus,дальник
