"Hero","Vs","Games","W","L","Win %","Elo Shift"
"Ringmaster","Kunkka","52","40","12","0.7692307692307693","14.953757987234253"
"Broodmother","Phoenix","57","43","14","0.7543859649122807","15.05347185388846"
"Lone Druid","Ember Spirit","63","46","17","0.7301587301587301","12.08046897559948"
"Chen","Techies","59","43","16","0.7288135593220338","11.13956810237401"
"Slark","Lina","55","40","15","0.7272727272727273","12.232965915939479"
"Enigma","Weaver","61","44","17","0.7213114754098361","14.884737873109739"
"Nature's Prophet","Axe","57","41","16","0.7192982456140351","16.331776531222868"
"Anti-Mage","Puck","53","38","15","0.7169811320754716","14.886596727563559"
"Elder Titan","Dawnbreaker","62","44","18","0.7096774193548387","11.844570634673243"
"Ancient Apparition","Phoenix","55","39","16","0.7090909090909091","13.0217444345538"
"Mirana","Drow Ranger","74","52","22","0.7027027027027027","12.132525158434278"
"Mirana","Night Stalker","67","47","20","0.7014925373134329","11.489827568547396"
"Lifestealer","Invoker","60","42","18","0.7","10.540734955940389"
"Chen","Earth Spirit","50","35","15","0.7","9.162037374609781"
"Abaddon","Axe","69","48","21","0.6956521739130435","13.022276235086865"
"Weaver","Underlord","62","43","19","0.6935483870967742","10.233670415646694"
"Dragon Knight","Dazzle","52","36","16","0.6923076923076923","10.13286807912123"
"Bane","Axe","81","56","25","0.691358024691358","11.39791652483908"
"Sven","Phantom Assassin","51","35","16","0.6862745098039216","13.234969358892737"
"Bane","Night Stalker","91","62","29","0.6813186813186813","11.203696279207177"
"Enigma","Grimstroke","50","34","16","0.68","8.265130950573065"
"Faceless Void","Zeus","59","40","19","0.6779661016949152","9.536799745220947"
"Lone Druid","Rubick","59","40","19","0.6779661016949152","9.320338619579985"
"Bane","Warlock","65","44","21","0.676923076923077","7.165640825843206"
"Dragon Knight","Night Stalker","74","50","24","0.6756756756756757","7.2856027565819135"
"Visage","Faceless Void","52","35","17","0.6730769230769231","11.707735155152537"
"Chen","Lion","52","35","17","0.6730769230769231","7.341535032905724"
"Centaur Warrunner","Night Stalker","55","37","18","0.6727272727272727","12.546474124328167"
"Faceless Void","Silencer","55","37","18","0.6727272727272727","10.3684933119231"
"Lifestealer","Sand King","55","37","18","0.6727272727272727","7.877311591952327"
"Lifestealer","Undying","58","39","19","0.6724137931034483","10.220019033201257"
"Io","Luna","61","41","20","0.6721311475409836","8.019266451495579"
"Enigma","Bane","64","43","21","0.671875","10.718676957299472"
"Crystal Maiden","Queen of Pain","76","51","25","0.6710526315789473","9.460471661805409"
"Treant Protector","Silencer","94","63","31","0.6702127659574468","9.524462897878733"
"Chen","Dawnbreaker","94","63","31","0.6702127659574468","7.906623643540952"
"Venomancer","Clockwerk","69","46","23","0.6666666666666666","14.424912345367632"
"Bloodseeker","Tidehunter","57","38","19","0.6666666666666666","11.497956261644855"
"Bane","Legion Commander","66","44","22","0.6666666666666666","10.46813756684596"
"Dark Seer","Dawnbreaker","60","40","20","0.6666666666666666","9.819777227597852"
"Enigma","Zeus","93","62","31","0.6666666666666666","9.445938294875187"
"Faceless Void","Bloodseeker","54","36","18","0.6666666666666666","9.241234734219784"
"Chen","Clockwerk","105","70","35","0.6666666666666666","8.454270274479613"
"Mirana","Vengeful Spirit","54","36","18","0.6666666666666666","8.38488724941616"
"Bane","Snapfire","265","176","89","0.6641509433962264","11.308930963466791"
"Underlord","Dragon Knight","119","79","40","0.6638655462184874","10.351555023099062"
"Clockwerk","Drow Ranger","107","71","36","0.6635514018691588","7.169525820682099"
"Medusa","Dawnbreaker","83","55","28","0.6626506024096386","8.594515142292138"
"Razor","Skywrath Mage","68","45","23","0.6617647058823529","5.926420365063118"
"Lycan","Void Spirit","59","39","20","0.6610169491525424","6.787529923733239"
"Mars","Venomancer","56","37","19","0.6607142857142857","8.588572142849907"
"Lycan","Dark Willow","53","35","18","0.660377358490566","9.145356963770537"
