Hero;Player;Total Count;Winrate;Avg. KAL
Terrorblade;Ame;177;66,67%;4,69
Morphling;Ame;136;66,91%;6,15
Sven;Ame;119;72,27%;5,67
Gyrocopter;Ame;114;60,53%;4,54
Juggernaut;Ame;113;58,41%;5,04
Faceless Void;Ame;113;65,49%;5,95
Phantom Lancer;Ame;102;57,84%;4,49
Monkey King;Ame;96;65,62%;4,50
Slark;Ame;92;56,52%;5,08
Lifestealer;Ame;88;57,95%;5,53
Troll Warlord;Ame;88;61,36%;4,16
Phantom Assassin;Ame;81;64,20%;5,70
Luna;Ame;78;53,85%;4,05
Drow Ranger;Ame;76;64,47%;3,96
Spectre;Ame;75;64,00%;8,10
Anti-Mage;Ame;71;66,20%;6,55
Naga Siren;Ame;65;61,54%;6,44
Ursa;Ame;60;50,00%;3,97
Clinkz;Ame;46;67,39%;4,19
Weaver;Ame;43;60,47%;6,35
Ember Spirit;Ame;40;45,00%;4,28
Templar Assassin;Ame;40;57,50%;4,02
Lycan;Ame;40;67,50%;6,53
Alchemist;Ame;35;60,00%;4,17
Medusa;Ame;34;64,71%;4,45
Lone Druid;Ame;32;68,75%;5,96
Chaos Knight;Ame;31;58,06%;3,37
Shadow Fiend;Ame;29;62,07%;3,68
Tiny;Ame;29;41,38%;3,21
Dragon Knight;Ame;26;61,54%;4,55
Timbersaw;Ame;26;50,00%;3,80
Bristleback;Ame;26;76,92%;4,81
Bloodseeker;Ame;25;64,00%;4,20
Arc Warden;Ame;24;50,00%;3,78
Wraith King;Ame;22;59,09%;4,33
Kez;Ame;22;40,91%;3,65
Razor;Ame;20;55,00%;3,65
Nature's Prophet;Ame;20;60,00%;4,92
Beastmaster;Ame;15;60,00%;3,63
Huskar;Ame;15;46,67%;2,78
Windranger;Ame;14;57,14%;4,39
Riki;Ame;12;75,00%;6,52
Muerta;Ame;10;40,00%;2,47
Shadow Fiend;Arteezy;113;75,22%;4,11
Terrorblade;Arteezy;109;59,63%;4,55
Naga Siren;Arteezy;87;67,82%;5,15
Morphling;Arteezy;85;65,88%;4,82
Lycan;Arteezy;81;76,54%;5,80
Ursa;Arteezy;75;65,33%;4,56
Lifestealer;Arteezy;75;62,67%;5,52
Luna;Arteezy;75;56,00%;4,28
Razor;Arteezy;72;72,22%;4,68
Sven;Arteezy;72;55,56%;4,36
Drow Ranger;Arteezy;71;71,83%;3,57
Gyrocopter;Arteezy;67;58,21%;4,26
Phantom Assassin;Arteezy;62;66,13%;5,08
Templar Assassin;Arteezy;52;71,15%;4,56
Anti-Mage;Arteezy;49;67,35%;6,30
Faceless Void;Arteezy;46;60,87%;6,01
Spectre;Arteezy;44;63,64%;5,33
Bloodseeker;Arteezy;43;69,77%;5,44
Troll Warlord;Arteezy;42;66,67%;4,75
Juggernaut;Arteezy;41;53,66%;3,80
Medusa;Arteezy;38;60,53%;5,18
Nature's Prophet;Arteezy;38;57,89%;4,91
Lone Druid;Arteezy;38;65,79%;5,31
Alchemist;Arteezy;37;59,46%;4,81
Outworld Devourer;Arteezy;35;57,14%;3,38
Clinkz;Arteezy;33;57,58%;3,79
Phantom Lancer;Arteezy;30;66,67%;4,66
Tiny;Arteezy;29;75,86%;5,21
Tinker;Arteezy;28;75,00%;3,83
Arc Warden;Arteezy;28;67,86%;5,88
Slark;Arteezy;28;42,86%;4,00
Weaver;Arteezy;26;50,00%;5,83
Dragon Knight;Arteezy;26;53,85%;2,92
Wraith King;Arteezy;25;60,00%;4,65
Storm Spirit;Arteezy;24;54,17%;4,32
Death Prophet;Arteezy;24;70,83%;4,26
Chaos Knight;Arteezy;23;34,78%;2,93
Venomancer;Arteezy;17;64,71%;3,76
Windranger;Arteezy;16;62,50%;6,28
Leshrac;Arteezy;15;73,33%;4,07
Timbersaw;Arteezy;15;66,67%;5,13
Ember Spirit;Arteezy;15;66,67%;3,96
Puck;Arteezy;15;66,67%;4,83
Monkey King;Arteezy;14;50,00%;4,62
Queen of Pain;Arteezy;13;53,85%;4,72
Bristleback;Arteezy;12;66,67%;3,96
Invoker;Arteezy;12;50,00%;3,00
Sniper;Arteezy;12;66,67%;5,11
Pudge;Arteezy;10;70,00%;5,55
Razor;Crystallis;117;52,99%;4,40
Monkey King;Crystallis;106;60,38%;5,27
Bloodseeker;Crystallis;63;57,14%;4,82
Dragon Knight;Crystallis;57;57,89%;4,04
Juggernaut;Crystallis;47;57,45%;4,50
Gyrocopter;Crystallis;43;58,14%;4,45
Troll Warlord;Crystallis;42;52,38%;3,63
Sven;Crystallis;39;46,15%;3,73
Ursa;Crystallis;38;57,89%;4,59
Terrorblade;Crystallis;38;39,47%;4,62
Abaddon;Crystallis;35;57,14%;6,27
Faceless Void;Crystallis;33;39,39%;4,79
Medusa;Crystallis;32;37,50%;3,63
Alchemist;Crystallis;32;53,12%;4,96
Morphling;Crystallis;31;45,16%;6,36
Lifestealer;Crystallis;30;50,00%;4,70
Shadow Fiend;Crystallis;28;39,29%;3,44
Huskar;Crystallis;27;66,67%;3,90
Bristleback;Crystallis;27;51,85%;4,22
Templar Assassin;Crystallis;24;58,33%;4,95
Drow Ranger;Crystallis;23;47,83%;3,65
Wraith King;Crystallis;21;66,67%;5,84
