№,Герой,Рейтинг Early,Рейтинг Mid,Рейтинг Late
1,Abaddon,52,50,47
2,Alchemist,58,51,54
3,Ancient Apparition,53,50,49
4,Anti-Mage,50,53,55
5,Arc Warden,54,47,41
6,Axe,46,45,52
7,Bane,56,57,54
8,Batrider,54,50,49
9,Beastmaster,60,51,43
10,Bloodseeker,42,51,52
11,Bounty Hunter,50,53,40
12,Brewmaster,44,52,52
13,Bristleback,52,52,50
14,Broodmother,61,49,44
15,Centaur Warrunner,48,51,51
16,Chaos Knight,53,48,49
17,Chen,66,56,50
18,Clinkz,51,53,53
19,Clockwerk,53,50,50
20,Crystal Maiden,48,50,56
21,Dark Seer,53,52,49
22,Dark Willow,42,50,48
23,Dawnbreaker,40,45,49
24,Dazzle,52,49,44
25,Death Prophet,45,51,48
26,Disruptor,52,51,52
27,Doom,44,51,60
28,Dragon Knight,49,49,46
29,Drow Ranger,45,44,42
30,Earth Spirit,46,50,46
31,Earthshaker,52,51,50
32,Elder Titan,47,56,53
33,Ember Spirit,51,49,51
34,Enchantress,53,49,51
35,Enigma,56,54,58
36,Faceless Void,48,54,57
37,Grimstroke,40,48,55
38,Gyrocopter,45,48,54
39,Hoodwink,50,46,53
40,Huskar,53,55,54
41,Invoker,51,49,51
42,Io,52,52,47
43,Jakiro,44,47,51
44,Juggernaut,41,52,52
45,Keeper of the Light,59,50,44
46,Kez,60,54,57
47,Kunkka,54,49,45
48,Largo,51,55,61
49,Legion Commander,44,50,49
50,Leshrac,53,52,56
51,Lich,42,50,51
52,Lifestealer,51,52,54
53,Lina,45,52,45
54,Lion,41,52,50
55,Lone Druid,59,56,59
56,Luna,49,49,42
57,Lycan,64,50,46
58,Magnus,57,52,42
59,Marci,52,49,46
60,Mars,43,49,53
61,Medusa,56,52,44
62,Meepo,55,51,38
63,Mirana,55,56,57
64,Monkey King,58,52,53
65,Morphling,48,50,43
66,Muerta,51,48,52
67,Naga Siren,64,53,57
68,Nature's Prophet,59,51,51
69,Necrophos,54,50,54
70,Night Stalker,46,48,58
71,Nyx Assassin,50,52,52
72,Ogre Magi,45,52,39
73,Omniknight,65,46,45
74,Oracle,55,50,46
75,Outworld Devourer,45,51,54
76,Pangolier,48,49,48
77,Phantom Assassin,37,48,57
78,Phantom Lancer,41,53,50
79,Phoenix,47,47,45
80,Primal Beast,51,49,53
81,Puck,47,51,53
82,Pudge,53,47,44
83,Pugna,52,51,49
84,Queen of Pain,43,49,50
85,Razor,46,52,49
86,Riki,58,52,56
87,Ringmaster,47,52,49
88,Rubick,50,46,46
89,Sand King,56,49,50
90,Shadow Demon,53,53,48
91,Shadow Fiend,56,48,48
92,Shadow Shaman,47,52,50
93,Silencer,44,46,51
94,Skywrath Mage,44,48,51
95,Slardar,50,50,53
96,Slark,53,48,56
97,Snapfire,47,47,48
98,Sniper,56,47,41
99,Spectre,38,50,60
100,Spirit Breaker,46,48,57
101,Storm Spirit,49,50,55
102,Sven,45,52,48
103,Techies,50,49,43
104,Templar Assassin,54,52,52
105,Terrorblade,53,47,46
106,Tidehunter,49,50,42
107,Timbersaw,48,49,54
108,Tinker,49,51,49
109,Tiny,54,50,44
110,Treant Protector,54,54,55
111,Troll Warlord,43,49,58
112,Tusk,44,49,52
113,Underlord,47,48,52
114,Undying,50,48,47
115,Ursa,36,51,57
116,Vengeful Spirit,47,47,52
117,Venomancer,62,50,51
118,Viper,47,52,44
119,Visage,53,53,53
120,Void Spirit,40,48,50
121,Warlock,50,50,50
122,Weaver,53,49,49
123,Windranger,44,49,49
124,Winter Wyvern,52,50,47
125,Witch Doctor,52,52,53
126,Wraith King,54,50,51
127,Zeus,43,45,52
