"Player","Total Count","Wins","Losses","Winrate","As Radiant","As Dire","Kills","Deaths","Assists","KDA","Avg. KAL","GPM","XPM","Last Hits","Denies","LVL","HD","TD","HH","GS"
"Fly","2821","1652","1169","58,56%","1368","1453","2,67","5,30","12,46","4,71","2,86","292","360","64","3","16","10129","767","2790","10078"
"Cr1t-","2605","1592","1013","61,11%","1232","1373","3,34","5,37","13,59","5,46","3,15","308","421","64","3","17","11857","681","1127","10480"
"Fy","2443","1441","1002","58,98%","1221","1222","3,35","5,00","12,31","4,99","3,13","316","399","80","3","16","11582","573","1166","10287"
"Puppey","2400","1504","896","62,67%","1273","1127","2,73","4,97","12,56","5,16","3,07","310","374","82","4","16","9604","688","2178","10096"
"BoBoKa","2359","1284","1075","54,43%","1072","1287","3,19","5,47","12,53","4,68","2,87","310","416","81","3","17","11517","764","1789","10654"
"Fng","2206","1216","990","55,12%","1083","1123","2,59","6,29","12,79","3,72","2,45","282","350","58","2","16","9735","650","1805","9653"
"Y`","2161","1256","905","58,12%","1129","1032","2,52","5,79","12,94","4,21","2,67","293","378","56","3","16","9302","460","2749","9639"
"KuroKy","2108","1285","823","60,96%","1035","1073","2,95","5,77","12,05","4,18","2,60","279","339","49","2","15","8695","582","1975","8662"
"Solo","2088","1190","898","56,99%","1015","1073","2,64","6,44","12,89","3,65","2,41","284","352","56","3","15","9369","650","2415","9427"
"Kaka","2074","1199","875","57,81%","966","1108","2,82","5,80","13,40","4,25","2,79","295","375","69","3","16","10035","403","1184","9513"
"Miposhka","1949","1114","835","57,16%","993","956","2,57","6,09","14,15","4,21","2,74","300","398","64","3","17","11040","664","1576","9995"
"Tims","1931","1093","838","56,60%","1031","900","2,83","5,45","14,14","5,10","3,11","321","439","85","2","18","12593","528","1358","11122"
"Saksa","1876","1108","768","59,06%","854","1022","3,12","5,92","13,87","4,69","2,87","324","433","83","4","17","12435","765","1258","10522"
"XNova","1834","1051","783","57,31%","869","965","2,36","5,78","13,12","4,22","2,68","290","379","55","2","16","9707","543","2408","10194"
"INSaNiA","1780","972","808","54,61%","768","1012","2,69","5,62","14,41","4,80","3,04","302","409","67","3","17","11584","521","3157","10848"
"Scofield","1732","929","803","53,64%","950","782","2,61","7,46","14,40","3,44","2,28","296","425","54","4","17","12441","297","492","9786"
"VANSKOR","1716","901","815","52,51%","831","885","2,32","6,34","11,64","3,53","2,20","255","312","39","2","15","9232","339","1990","8944"
"GH","1697","981","716","57,81%","829","868","2,86","5,71","14,74","5,29","3,08","313","422","73","3","17","13415","511","3642","9982"
"Sneyking","1661","1020","641","61,41%","736","925","2,97","6,03","14,83","4,94","2,95","353","490","109","5","19","13172","1480","3615","12705"
"Handsken","1626","830","796","51,05%","719","907","3,01","5,96","12,47","4,05","2,60","287","370","62","3","16","10129","597","2114","9631"
"Pieliedie","1595","902","693","56,55%","748","847","2,51","5,50","11,40","4,06","2,53","269","315","55","3","15","8551","529","2088","9087"
"Whitemon","1564","896","668","57,29%","687","877","2,86","5,96","14,66","4,77","2,94","309","436","58","3","17","12625","646","3006","11481"
"Fenrir","1561","918","643","58,81%","679","882","3,12","4,84","11,25","4,71","2,97","266","298","48","3","14","7313","303","1358","9112"
"CemaTheSlayeR","1557","803","754","51,57%","714","843","2,92","5,71","12,14","4,14","2,64","283","348","54","3","16","9431","349","1229","9675"
"SoNNeikO","1556","802","754","51,54%","843","713","2,89","6,03","12,72","3,96","2,59","292","367","65","3","16","10084","733","2512","10083"
"ALWAYSWANNAFLY","1515","867","648","57,23%","743","772","2,79","6,64","11,26","3,28","2,12","271","312","49","4","14","8850","364","1974","8569"
"Zayac","1506","803","703","53,32%","742","764","2,95","6,63","13,49","3,85","2,48","301","416","66","2","17","12433","636","1294","9918"
"Faith","1505","862","643","57,28%","700","805","2,77","5,36","11,45","4,23","2,65","267","315","53","2","15","7495","489","1742","8565"
"DJ","1487","854","633","57,43%","756","731","3,72","4,97","13,37","5,59","3,44","320","421","82","3","18","11807","609","1620","10791"
"Matthew","1466","800","666","54,57%","850","616","3,32","5,71","14,62","5,04","3,14","294","409","51","4","17","12101","435","913","9916"
"Bignum","1464","676","788","46,17%","696","768","3,04","5,27","12,47","4,83","2,94","288","392","56","3","16","11166","440","1125","9458"
"LaNm","1464","873","591","59,63%","647","817","2,89","4,99","12,30","4,78","3,04","285","348","61","3","16","8890","588","1565","9380"
"Ppd","1457","880","577","60,40%","767","690","2,37","5,02","10,68","4,23","2,60","267","325","47","2","15","8018","557","1842","8879"
"Seleri","1425","801","624","56,21%","771","654","2,44","5,72","13,86","4,86","2,85","315","428","76","4","17","10663","1346","4688","10417"
"Oli","1423","740","683","52,00%","625","798","2,22","5,70","13,17","4,44","2,70","280","383","46","4","17","9752","617","2811","9364"
"Dy","1408","850","558","60,37%","760","648","2,40","5,80","14,41","4,45","2,90","288","397","54","3","17","10900","432","2717","9673"
"Zfreek","1388","730","658","52,59%","657","731","3,27","5,44","11,92","4,58","2,79","300","366","69","3","16","10329","549","1314","9699"
"Ddc","1384","785","599","56,72%","639","745","2,76","4,40","11,09","5,05","3,15","256","293","41","3","14","6114","393","1361","7987"
"Yftx","1362","669","693","49,12%","671","691","2,78","6,26","13,04","3,87","2,53","296","385","57","4","16","11224","491","2055","9934"
"tOfu","1344","777","567","57,81%","683","661","3,24","5,46","13,78","5,09","3,12","337","456","91","3","17","14807","564","2156","11243"
"N0tail","1342","815","527","60,73%","644","698","2,79","5,94","11,99","3,93","2,49","269","332","50","3","15","9325","626","3462","8964"
"XinQ","1327","809","518","60,96%","640","687","3,69","5,07","13,15","5,46","3,32","340","478","101","4","19","15004","869","1833","12362"
"Save-","1324","784","540","59,21%","709","615","3,60","5,04","14,44","6,31","3,58","323","471","77","3","18","15566","824","1434","11326"
"Mira","1291","793","498","61,43%","591","700","3,03","6,79","14,54","4,18","2,59","315","468","75","3","18","13652","538","1270","11048"
"Boxi","1272","748","524","58,81%","593","679","3,74","6,22","14,80","4,96","2,98","327","479","77","4","18","13718","539","1223","11478"
"SsaSpartan","1265","591","674","46,72%","720","545","2,84","7,87","13,05","2,89","2,02","283","348","57","3","16","9809","506","2182","9337"
"YapzOr","1233","760","473","61,64%","707","526","3,96","4,21","13,95","7,04","4,26","314","412","75","3","18","12697","327","776","10563"
"Lil","1216","666","550","54,77%","640","576","3,53","5,43","12,25","4,25","2,91","293","359","69","3","16","10340","537","1342","10136"
"Kataomi","1198","703","495","58,68%","618","580","2,95","5,77","14,78","4,89","3,08","329","464","80","2","18","13645","490","2341","11392"
"Accel","1197","603","594","50,38%","592","605","2,40","7,09","12,37","3,07","2,08","295","367","63","3","16","9654","487","1395","9744"
"RodjER","1189","667","522","56,10%","662","527","2,90","6,30","12,72","3,89","2,48","297","393","68","4","17","10676","636","1628","10118"
"Pyw","1156","653","503","56,49%","610","546","3,69","5,54","13,00","4,88","3,01","321","460","89","4","18","13360","610","886","10677"
"JerAx","1156","701","455","60,64%","566","590","3,13","5,55","12,53","4,33","2,82","287","342","57","3","16","9170","378","1019","9362"
"Fade","1132","607","525","53,62%","514","618","3,23","5,31","13,74","4,97","3,20","291","405","62","2","17","10803","499","1148","8945"
"Dukalis","1130","644","486","56,99%","600","530","2,37","6,20","13,83","4,52","2,61","304","422","57","2","17","11550","1092","3085","10593"
"Akke","1129","674","455","59,70%","570","559","2,93","4,34","9,35","4,42","2,83","262","280","52","2","13","5403","274","1823","8466"
"KJ","1128","582","546","51,60%","602","526","2,58","6,16","14,27","4,30","2,74","309","424","65","4","17","11905","945","3415","11268"
"Taiga","1127","582","545","51,64%","487","640","3,35","6,57","13,96","4,24","2,63","299","411","70","4","18","13336","494","1555","9749"
"MoOz","1126","541","585","48,05%","523","603","3,08","6,26","13,14","4,04","2,59","308","426","66","2","17","12195","762","1491","10513"
"Thiolicor","1123","598","525","53,25%","564","559","3,18","6,49","14,46","4,26","2,72","310","424","70","3","17","12416","565","908","10441"
"pantomem","1114","613","501","55,03%","500","614","2,59","6,59","14,52","4,29","2,59","312","440","62","4","17","12281","803","3368","10694"
"EGM","1106","648","458","58,59%","502","604","2,78","5,38","10,73","3,99","2,51","267","308","50","3","14","7311","442","1610","8381"
"MISERY","1104","625","479","56,61%","590","514","2,85","5,63","11,30","4,08","2,51","292","336","64","3","15","8680","698","797","9445"
"Aui 2000","1083","603","480","55,68%","534","549","3,04","4,23","10,15","4,96","3,12","300","340","77","4","15","9314","681","1510","9866"
"Ahfu","1078","581","497","53,90%","511","567","2,63","6,43","13,87","3,93","2,57","277","362","51","2","16","10075","389","1137","8944"
"Jhocam","1070","562","508","52,52%","471","599","2,91","6,48","13,94","4,09","2,60","309","438","67","3","18","12116","448","875","10499"
"J4","1040","484","556","46,54%","548","492","2,70","5,59","11,07","3,70","2,47","265","308","52","3","14","7713","425","1119","8773"
"DuBu","1035","558","477","53,91%","476","559","2,16","5,90","12,97","3,92","2,56","256","325","34","2","15","8044","422","2329","8438"
"Jabz","1032","600","432","58,14%","507","525","3,22","6,23","13,68","4,21","2,71","291","371","57","2","17","10781","305","1499","9833"
"Mjz","1010","492","518","48,71%","544","466","2,49","6,84","13,34","3,82","2,32","281","384","47","2","16","11159","483","2486","9022"
"Panda","1009","576","433","57,09%","581","428","2,35","6,55","14,88","4,40","2,63","291","397","46","2","16","11187","600","3115","9415"
"OmaR","1005","542","463","53,93%","480","525","3,63","6,10","14,00","4,61","2,89","314","459","64","3","18","13726","436","810","10371"
"Q","1002","565","437","56,39%","477","525","2,90","5,06","11,98","4,56","2,94","276","319","60","3","15","7474","518","1374","9257"
"StingeR","968","510","458","52,69%","495","473","2,61","7,44","13,29","3,22","2,14","293","373","55","3","16","10569","595","1940","9375"
"SVG","960","606","354","63,12%","509","451","3,12","5,75","13,95","4,64","2,97","283","348","49","3","16","10201","553","1665","8802"
"Immersion","960","473","487","49,27%","503","457","3,02","6,09","13,83","4,54","2,77","294","416","62","2","17","12640","409","1817","9327"
"起风 了","957","529","428","55,28%","594","363","2,72","5,32","12,92","4,56","2,94","271","333","48","2","15","8271","324","1412","8959"
"Sayuw","944","490","454","51,91%","494","450","3,07","4,91","13,22","5,39","3,32","317","448","80","3","18","12923","563","1158","11082"
"Yol","926","441","485","47,62%","476","450","2,61","6,11","9,92","3,29","2,05","251","283","45","3","14","7601","371","1383","8372"
"September","889","482","407","54,22%","428","461","3,10","5,07","12,15","4,88","3,01","284","368","59","3","16","9721","457","1271","8724"
"Jaunuel","877","454","423","51,77%","507","370","2,64","6,00","14,46","4,71","2,85","305","417","64","3","17","11690","630","2773","11127"
"MSS","869","535","334","61,57%","473","396","4,26","4,52","14,50","7,13","4,15","315","433","73","4","18","13037","495","1338","10196"
"Ninjaboogie","869","478","391","55,01%","431","438","2,72","5,97","12,99","3,93","2,63","283","336","57","3","16","8293","372","1364","9523"
"Yamich","864","449","415","51,97%","461","403","3,13","5,80","13,58","4,83","2,88","305","441","65","3","17","11661","534","906","10297"
"Xepher","861","435","426","50,52%","394","467","3,16","6,02","13,10","4,17","2,70","301","413","81","3","18","12747","497","1896","10160"
"Fishman","860","460","400","53,49%","441","419","2,56","7,59","14,56","3,36","2,25","293","406","54","4","17","11148","563","1875","9682"
"NARMAN","858","416","442","48,48%","383","475","3,57","5,96","14,07","4,81","2,96","319","462","76","3","18","14402","648","1529","11701"
"Skem","852","478","374","56,10%","490","362","2,62","5,44","14,35","5,53","3,12","338","453","89","3","18","11497","842","3785","11617"
"Goblak","851","463","388","54,41%","398","453","2,76","5,00","8,36","3,52","2,23","263","292","54","3","13","4646","442","1111","8399"
"Q","851","475","376","55,82%","374","477","3,92","4,92","14,29","5,97","3,70","335","469","95","3","18","15291","637","1017","11657"
"1437","850","471","379","55,41%","443","407","2,80","5,33","10,73","4,20","2,54","282","325","61","2","15","7890","556","1305","9370"
"ChuaN","850","513","337","60,35%","426","424","2,85","4,00","10,48","5,65","3,33","274","301","60","2","14","5885","323","1017","9328"
"Malady","850","477","373","56,12%","442","408","2,50","6,52","14,50","4,18","2,61","314","443","66","4","17","12755","1142","4534","10330"
"Michael-","850","415","435","48,82%","339","511","3,38","6,20","14,57","5,01","2,89","305","444","60","3","17","13234","646","1018","10200"
"Poloson","850","410","440","48,24%","420","430","2,89","6,58","13,21","3,83","2,45","315","416","79","4","17","12031","677","2296","10952"
"Cml","848","413","435","48,70%","370","478","2,58","6,96","13,15","3,42","2,26","297","411","54","2","17","11817","604","2600","9639"
"Kaori","844","492","352","58,29%","452","392","2,96","6,63","14,72","4,47","2,67","334","461","83","3","18","14391","1562","3172","11277"
"Ceb","841","436","405","51,84%","457","384","2,61","5,59","11,94","4,47","2,60","301","383","80","3","16","10193","786","3747","11608"
"Ari","838","455","383","54,30%","408","430","3,22","6,03","14,66","4,86","2,97","324","475","78","2","18","14924","678","1019","11057"
"Super","833","427","406","51,26%","453","380","2,96","4,90","10,62","4,31","2,77","263","290","50","2","14","6586","508","2212","8488"
"9Class","819","530","289","64,71%","439","380","3,34","6,49","14,14","4,34","2,69","355","484","101","2","18","14991","732","1654","12319"
"MMY","815","518","297","63,56%","363","452","3,11","4,25","10,14","4,87","3,12","261","275","46","2","13","4841","314","1353","8523"
"elmisho","810","399","411","49,26%","367","443","3,22","7,23","13,64","3,74","2,33","327","456","84","2","18","13556","854","1103","11479"
"PlAnet","809","449","360","55,50%","444","365","3,24","4,71","13,99","6,11","3,66","332","469","94","3","18","14084","646","1717","11363"
"KingR","803","368","435","45,83%","422","381","3,35","6,13","12,13","3,71","2,52","272","329","44","3","16","8878","225","955","8850"
"swedenstrong","785","410","375","52,23%","413","372","3,40","5,77","14,89","5,20","3,17","334","475","87","2","18","15189","577","1845","11770"
"FLUFFNSTUFF","781","438","343","56,08%","363","418","3,12","4,83","9,34","3,87","2,58","260","286","50","1","13","6178","301","932","8966"
"Febby","758","383","375","50,53%","341","417","2,77","6,00","12,84","3,94","2,60","284","345","47","3","16","8075","456","1701","8931"
"Dogf1ghts","753","371","382","49,27%","395","358","2,73","5,71","11,96","3,76","2,57","272","322","47","2","15","8263","364","1080","8557"
"LeBronDota","751","320","431","42,61%","421","330","2,54","7,02","13,40","3,40","2,27","277","371","53","4","16","10434","477","2403","9290"
"Prada","750","333","417","44,40%","362","388","2,58","7,11","13,42","3,37","2,25","292","384","58","3","16","11110","588","1450","9624"
"Boombacs","749","381","368","50,87%","274","475","3,11","6,55","13,50","3,85","2,54","317","432","87","4","18","12374","567","1427","10729"
"Kingrd","730","373","357","51,10%","361","369","3,19","6,48","13,84","3,98","2,63","313","398","65","3","17","11377","330","1094","9968"
"Shanks","728","337","391","46,29%","409","319","3,48","6,17","12,91","4,15","2,65","328","465","80","4","18","14277","840","1486","11324"
"Boombell","725","345","380","47,59%","360","365","2,64","6,31","12,35","3,60","2,38","271","335","48","2","15","8926","326","2196","8815"
"Maybe Next Time","707","336","371","47,52%","383","324","2,94","5,81","12,63","4,08","2,68","294","359","59","3","16","9503","302","1015","9844"
"Fear","700","374","326","53,43%","346","354","3,04","4,74","11,79","5,16","3,13","278","336","56","3","15","9425","560","1104","9024"
"FLee","691","314","377","45,44%","382","309","3,42","5,14","13,14","5,45","3,22","309","418","78","4","17","12384","639","1042","9795"
"Demons","690","352","338","51,01%","361","329","3,03","5,13","11,16","3,89","2,76","264","287","47","2","14","7193","277","1247","8463"
"MiLAN","688","342","346","49,71%","362","326","3,28","6,01","13,34","4,52","2,77","296","391","68","3","17","11687","361","1465","9787"
"Waytosexy","683","371","312","54,32%","334","349","2,87","4,33","8,31","3,91","2,59","272","302","59","1","14","4601","236","949","9130"
"Zai","676","444","232","65,68%","322","354","3,22","5,37","12,19","4,30","2,87","310","355","73","3","16","10393","579","1821","10055"
"Gardick","674","313","361","46,44%","323","351","2,10","7,55","12,56","2,90","1,94","289","390","54","3","16","10253","563","2390","9478"
